epoch,train_loss,train_acc,test_loss,test_acc,time
ConvNet1,,,,,
1,133.2881019,0.039034606,131.6651638,0.041792169,
2,108.9183749,0.042201662,139.2821189,0.045557229,
3,78.11518461,0.11555033,170.2697425,0.076681727,
4,36.14096566,0.588145427,191.5261235,0.089106426,
5,15.12860057,0.814577039,200.5516718,0.09626004,
6,8.327512851,0.887651057,206.4462928,0.09437751,
7,5.495980481,0.921269912,213.8467643,0.099272088,
8,3.984412075,0.940143505,214.4559666,0.09626004,
9,3.01271899,0.95379875,218.1688832,0.100778112,
10,2.298737922,0.964595921,220.8800491,0.100401606,
11,1.774643767,0.972105878,223.9342289,0.106049197,
12,1.381495519,0.980834592,225.5123297,0.1000251,
13,1.055767242,0.984799849,225.6097135,0.105672691,
14,0.816143505,0.988627781,229.5411003,0.100778112,
15,0.64384379,0.991314199,229.2810166,0.103037149,
16,0.486344235,0.994335347,230.4637318,0.103413655,
17,0.38561858,0.995562689,231.833806,0.105672691,
18,0.294606867,0.997167674,231.9569681,0.101154618,
19,0.231050738,0.997734139,232.3493935,0.107931727,
20,0.178579256,0.998111782,234.3679867,0.105672691,
21,0.142784407,0.998678248,234.8566967,0.108684739,
22,0.117199639,0.999150302,235.8671815,0.108308233,
23,0.094688684,0.999244713,236.4263055,0.111320281,
24,0.075485369,0.999622356,237.3623009,0.110190763,
25,0.062564592,0.999622356,236.9830782,0.108684739,
26,0.052482124,0.999811178,237.8630895,0.109061245,
27,0.047915858,0.999622356,238.5252532,0.109061245,
28,0.04003801,0.999905589,237.8059043,0.110943775,
29,0.036792937,0.999905589,239.0548695,0.111696787,
216.2325873,,,,,
ConvNet2_BatchNorm,,,,,
1,146.778188,0.044604848,148.479467,0.047439759,
2,113.6898914,0.075048064,154.3670821,0.069653614,
3,87.41904732,0.17484036,158.8602644,0.084337349,
4,62.27061522,0.368322576,162.025892,0.098519076,
5,41.15935395,0.58787936,164.2505848,0.111696787,
6,25.90485722,0.750480637,166.9324516,0.112073293,
7,15.9411913,0.854332601,169.5903699,0.120732932,
8,9.682421715,0.913193491,172.4737132,0.126631526,
9,5.864024975,0.949867825,175.8213202,0.12813755,
10,3.576836687,0.971393505,179.2234,0.128514056,
11,2.19650888,0.982817221,183.0807903,0.130145582,
12,1.375921255,0.99027568,185.606187,0.132279116,
13,0.875264755,0.995185045,188.2436816,0.133910643,
14,0.566544677,0.997073263,190.8421477,0.135040161,
15,0.37711176,0.998206193,194.1405367,0.135416667,
16,0.263705074,0.999150302,195.1920532,0.138679719,
17,0.188076162,0.999433535,196.8341252,0.140185743,
18,0.142265231,0.999622356,199.3932655,0.136922691,
19,0.113987499,0.999716767,200.4378841,0.140938755,
20,0.09457802,0.999716767,201.9651776,0.142444779,
21,0.079681384,0.999716767,203.1604114,0.142068273,
22,0.07269551,0.999811178,204.5673044,0.144327309,
23,0.066710431,0.999811178,205.1478752,0.144703815,
24,0.063521926,0.999811178,206.6103197,0.142821285,
25,0.060180001,0.999811178,208.0149323,0.146586345,
26,0.058875364,0.999811178,208.7853809,0.144703815,
27,0.058017963,0.999811178,208.9947446,0.146586345,
28,0.057270067,0.999811178,209.2306713,0.1499749,
29,0.056764916,0.999811178,210.1122251,0.147339357,
243.8117294,,,,,
ConvNet3_ResNet,,,,,
1,138.5797892,9.44E-05,137.6553724,0,
2,136.7890149,0.000755287,137.5211734,0.00188253,
3,134.3153401,0.008685801,138.2691996,0.030120482,
4,131.5788285,0.036820242,140.0764493,0.041415663,
5,129.2551892,0.039652568,142.3248384,0.041415663,
6,127.5390907,0.039652568,144.3803892,0.041415663,
7,126.2552644,0.039695482,146.4514815,0.041415663,
8,125.3203484,0.039738396,148.5701015,0.041415663,
9,124.612003,0.039652568,151.0812199,0.041415663,
10,124.0945032,0.039652568,152.8922112,0.041415663,
11,123.6824481,0.039652568,154.7895445,0.041415663,
12,123.370689,0.039695482,156.4957797,0.041415663,
13,123.0870076,0.039558157,158.172231,0.041415663,
14,122.8874947,0.039652568,159.6843087,0.041415663,
15,122.6863496,0.039746979,160.1441094,0.041415663,
16,122.5400324,0.040030211,161.7431815,0.041415663,
17,122.395218,0.040219033,162.4617185,0.041415663,
18,122.2562327,0.040596677,162.8209369,0.040286145,
19,122.107672,0.040399272,163.6799549,0.040286145,
20,121.9423887,0.041300467,164.3140574,0.040286145,
21,121.8296883,0.041446375,163.7576941,0.040286145,
22,121.6543673,0.04201284,163.8960172,0.040662651,
23,121.5112957,0.041961343,165.1816589,0.039909639,
24,121.3399976,0.041824018,164.846601,0.039909639,
25,121.126829,0.042244576,164.3863214,0.040662651,
26,120.9114726,0.042433397,164.8607982,0.041039157,
27,120.6899373,0.042201662,164.8838951,0.041039157,
28,120.4283585,0.042579305,165.1123112,0.041039157,
29,120.1665165,0.042296073,164.8118291,0.040662651,
193.6501327,,,,,
ConvNet3_ResNet 128 out channels
1,132.70368041300702,0.03672583081570997,131.30186117700782,0.04631024096385542
2,122.00332974667275,0.051170694864048336,135.76662872498295,0.051957831325301206
3,116.92207736335132,0.05895530074155452,138.22458400496518,0.058734939759036146
4,113.92933318262014,0.06429380664652568,141.012781924512,0.06212349397590362
5,111.73049328622501,0.07198400164789893,140.62329593336725,0.07266566265060241
6,109.76209211781666,0.07836102719033233,137.81131794940995,0.08019578313253012
7,108.09756938784504,0.085484756934908,135.36256854505424,0.08697289156626506
8,106.80475396332064,0.09133823125514968,136.3464710511357,0.09262048192771084
9,105.49745407565483,0.09624759681406207,133.21050494550224,0.09525602409638555
10,104.39751979447564,0.1011054655314474,134.43886644294463,0.09676204819277108
11,103.13162536851588,0.10555135951661632,132.7749441215791,0.09826807228915663
12,101.87275502184727,0.11007449876407581,132.01976259070707,0.10768072289156627
13,100.59491760853194,0.11348187311178248,132.85606797919215,0.11144578313253012
14,99.406410862672,0.1212578961823675,133.78776943252748,0.11144578313253012
15,98.33267968514895,0.12352375720955783,130.38690401559853,0.11671686746987951
16,97.0517542398228,0.13038141993957703,130.01565951611622,0.12073293172690762
17,95.76343378487671,0.13627780829442462,130.3111543080893,0.12223895582329315
18,94.59728958959666,0.14038039000274652,134.72823379700444,0.12412148594377509
19,93.3907323531874,0.14547857731392475,132.35076977833208,0.12826305220883533
20,92.29296938386209,0.14826798956330678,132.87550648149238,0.13416164658634538
21,91.18114444928587,0.15581227684702006,131.79619802911597,0.1339106425702811
22,90.20861933958855,0.15851586102719034,131.21978300163545,0.1316516064257028
23,88.95116021770005,0.16478989288656962,129.21741563728057,0.13466365461847388
24,87.88848093845333,0.17036013457841254,130.7535973974021,0.1339106425702811
25,86.98718756707413,0.17262599560560285,130.5269553173019,0.1369226907630522
26,85.89677149147425,0.1796553144740456,129.95230883862598,0.1416917670682731
27,84.9489354194111,0.18664171930788245,133.34433378656226,0.14269578313253012
28,83.84995998140548,0.19075288382312552,130.87031389719033,0.14269578313253012
29,82.81394422018276,0.19918978302664106,131.08696629627642,0.14332329317269074
355.1657729148865
ConvNet3_ResNet 128 out channels
1,132.46288233869384,0.03851963746223565,131.34638009588403,0.04405120481927711
2,121.95269223354374,0.04654456193353474,136.0466119697295,0.05082831325301205
3,117.20470625540281,0.05522177973084317,140.1866706940065,0.055346385542168676
4,114.27222224808892,0.06207085965394123,141.51698045845492,0.05948795180722891
5,112.17562750963286,0.06962372974457567,141.62504717815352,0.06814759036144578
6,110.493837350805,0.07552011809942323,137.81447883973638,0.07191265060240964
7,109.03690190617772,0.0789274924471299,136.99620773131588,0.07643072289156627
8,107.76527280317693,0.08368236748146114,139.53875111959067,0.08245481927710843
9,106.52707026732293,0.09124382037901675,138.84024194924228,0.08998493975903614
10,105.35886645821286,0.09483143367206812,135.00186961530204,0.09450301204819277
11,104.06734958660206,0.1026160395495743,134.73092168785004,0.10077811244979919
12,102.87387309693858,0.1040836995330953,130.8607126718544,0.1016566265060241
13,101.59672272097308,0.11167948365833563,133.4635646314506,0.1091867469879518
14,100.37625475304364,0.11833974182916782,131.56706053952138,0.11433232931726907
15,99.24732823674412,0.12381557264487779,132.5014929254371,0.11470883534136544
16,98.01022659831897,0.12650199121120573,130.16795190558375,0.1236194779116466
17,96.890186724706,0.13047583081570996,131.2968418397099,0.12512550200803213
18,95.7921548710849,0.13703309530348806,129.0551240989961,0.12512550200803213
19,94.62238396474602,0.14287798681680858,128.8351729749197,0.12186244979919678
20,93.44628500578267,0.14661150782751992,129.84878815800312,0.13002008032128515
21,92.30719103049655,0.15213883548475693,130.5160445937191,0.13529116465863456
22,91.0584781277936,0.15827554243339742,131.66944735883231,0.13466365461847388
23,90.02854160527808,0.16469548201043668,130.20983776414252,0.13880522088353411
24,89.07791036277379,0.16870365284262567,130.07095932098755,0.14068775100401604
25,88.04168370987354,0.17469445207360618,128.35026458372553,0.14357429718875503
26,86.87149547450132,0.1843758582806921,131.61201564375176,0.14068775100401604
27,86.04805481902062,0.18730259544081296,129.09143397319747,0.1391817269076305
28,85.11130492564774,0.18909640208733866,134.4484720345003,0.1421937751004016
29,84.08070823577235,0.19438341115078275,130.7202532664839,0.15122991967871485
30,83.11515698043962,0.20287180719582534,131.1318101078631,0.1544929718875502
31,82.10800778253561,0.2069829717110684,129.58780720722245,0.14897088353413654
32,81.31180317236218,0.21359173304037354,130.7369641223586,0.1519829317269076
33,80.3189175020892,0.21656996704202144,130.5171041833349,0.15122991967871485
34,79.24485544279622,0.2269551634166438,131.83951040061123,0.15160642570281124
35,78.47136651929412,0.23030245811590225,133.2453063597162,0.14934738955823293
36,77.67093287349827,0.23479126613567702,130.71595575723305,0.16101907630522086
37,76.9163915916512,0.2405417467728646,129.9606985298984,0.16403112449799195
38,75.99459554205488,0.25022315297995057,129.4747812891581,0.15988955823293172
39,75.02183132229254,0.25708081570996977,131.6434686270105,0.15876004016064255
40,74.14710483954393,0.2587630458665202,129.89052522038838,0.1580070281124498
41,73.2900746164005,0.26420454545454547,130.8005520004824,0.1655371485943775
42,72.50810133942664,0.27227238396045045,133.16436427472587,0.16478413654618473
43,71.64682897124045,0.2800054929964296,130.53758097269449,0.16591365461847388
44,70.71379481197484,0.28831365009612747,131.36415431011153,0.1681726907630522
45,70.15827094248054,0.28600487503433125,130.6357296633433,0.173820281124498
46,69.17826557447543,0.2966218071958253,129.39356298331754,0.173820281124498
47,68.35601383681744,0.3015483383685801,130.42230408450206,0.1730672690763052
48,67.68808930157894,0.3076764625102994,129.3829861146858,0.17156124497991967
49,66.92397565928111,0.31707463608898656,127.32428842567536,0.17984437751004018
50,66.00617033621336,0.31928900027464985,128.27570405063858,0.17457329317269074
51,65.25891892355375,0.3297514419115628,130.78775369115624,0.17720883534136547
52,64.36343336537526,0.3335879566053282,127.26992710527168,0.16967871485943772
53,63.68120959878328,0.3418961137050261,129.68941208253423,0.17231425702811246
54,62.896812577262025,0.35132861851139796,127.06787385136248,0.18022088353413657
55,61.859699848555366,0.35817769843449604,127.16740752989988,0.17796184738955825
56,61.324151554856776,0.36521560010985993,128.5151625024267,0.17984437751004018
57,60.52830606212789,0.3701764625102994,129.58883947349457,0.1757028112449799
58,59.79245767276453,0.3776263389178797,128.79066301828408,0.17683232931726905
59,59.10892619395184,0.3785790304861302,125.48858141611858,0.18059738955823293
60,58.19846460970507,0.38924745948915135,129.42710520273232,0.18586847389558234
61,57.566835256501626,0.3917450563032134,129.95038023339697,0.18549196787148595
62,56.819947213924905,0.40215600109859934,127.09788747580654,0.17683232931726908
63,55.98277338321836,0.4115112606426806,127.30685679883842,0.18285642570281124
64,55.25298014004065,0.4194417742378468,129.2578107535121,0.18850401606425704
65,54.40630942457032,0.4229092282340017,128.16040505558612,0.18586847389558234
66,53.54158508957693,0.43493374073056856,130.66278301376894,0.18285642570281124
67,52.61524076260108,0.4430444932710794,128.43090493995024,0.18888052208835343
68,51.997788677042706,0.4512496566877232,132.98047210509517,0.18963353413654618
69,51.10262259687902,0.4555582257621532,130.79379405745541,0.1843624497991968
70,50.307071547493834,0.46472466355396863,132.36376996787197,0.18473895582329317
71,49.91628878786484,0.47090428453721506,127.53296424681882,0.18737449799196787
72,48.968763691421,0.48266273001922544,129.6295205771205,0.19264558232931728
73,48.42025277405707,0.48846470749794013,134.3758407500853,0.18850401606425704
74,47.41084635581855,0.49922754737709424,131.69195437144083,0.18097389558232932
75,46.44062933676913,0.5073897967591321,132.0162548157106,0.19603413654618476
76,45.87530783223962,0.5191482422411425,133.63208081348833,0.18473895582329317
77,45.196734612802004,0.5238344548201044,130.89222032478057,0.18097389558232932
78,44.47948233382579,0.5256969239219994,132.5827860544963,0.1930220883534137
79,43.70609498384136,0.5409914858555341,133.9670231830643,0.18699799196787148
80,42.76492467459595,0.5547325597363362,133.96639136808463,0.18850401606425704
81,42.200647731562036,0.5574103954957429,135.07166285687182,0.19113955823293174
82,41.383813023927345,0.570078618511398,134.65609083979962,0.1922690763052209
83,40.398593458884434,0.5793394671793463,134.67944108434472,0.18624497991967873
84,40.01526336151307,0.5864031172754738,135.43959114350469,0.18812751004016065
85,39.16186687665403,0.5975521834660807,134.50487387323955,0.19038654618473896
86,38.32413629030533,0.6058689233726998,136.72358018806182,0.18561746987951808
87,37.504293724129205,0.6203910326833287,137.15533389815366,0.18247991967871488
88,37.067786382404336,0.6209660807470475,137.0280275000147,0.18963353413654618
89,35.92446993773077,0.6343295111233178,135.9523420218962,0.18737449799196787
90,35.65862472684002,0.6386809942323538,138.14521681544292,0.18662148594377512
91,34.97991284286868,0.6510402361988464,136.06563218817652,0.18850401606425704
92,34.12453817961079,0.6524478165339193,137.35043203974345,0.19113955823293174
93,33.392028376415055,0.6658198297171106,141.17582557862065,0.18812751004016065
94,32.48978240540381,0.6778872562482834,140.7281299269343,0.18637048192771086
95,32.068764238559226,0.6876029936830541,140.0200756946242,0.1901355421686747
96,31.392891010849137,0.6925810216973359,140.96436387946807,0.18586847389558234
97,30.884914457257782,0.7025799917605053,141.54456563742764,0.18762550200803213
98,30.081336855528217,0.7103731804449327,141.18768351911064,0.1976656626506024
99,29.579349683490765,0.7195653666575117,142.822566549462,0.1901355421686747
1178.1942369937897
